10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
TURN OUT,,,,,,TOTAL:,,,127424,734,128158,66.69,
Punjab,37,Jalandhar Cantt.,1 PARGAT SINGH POWAR,MALE,57,GENERAL,INC,Hand,40507,309,40816,32.63,193992
Punjab,37,Jalandhar Cantt.,2 SURINDER SINGH SODHI,MALE,64,GENERAL,AAAP,Broom,34662,346,35008,27.99,193992
Punjab,37,Jalandhar Cantt.,3 JAGBIR SINGH BRAR,MALE,59,GENERAL,SAD,Scales,27171,216,27387,21.89,193992
Punjab,37,Jalandhar Cantt.,4 SARABJIT SINGH MAKKAR,MALE,62,GENERAL,BJP,Lotus,15758,188,15946,12.75,193992
Punjab,37,Jalandhar Cantt.,5 JASWINDER SINGH SANGHA,MALE,56,GENERAL,IND,Pot,1874,16,1890,1.51,193992
Punjab,37,Jalandhar Cantt.,6 GURMUKH SINGH,MALE,47,GENERAL,SAD(M),SHIP,1764,5,1769,1.41,193992
Punjab,37,Jalandhar Cantt.,7 NOTA,,,,NOTA,NOTA,917,18,935,0.75,193992
Punjab,37,Jalandhar Cantt.,8 SATNAM ALEER,MALE,43,SC,ASPKR,Kettle,597,0,597,0.48,193992
Punjab,37,Jalandhar Cantt.,9 RIBIKA,FEMALE,33,GENERAL,BMUP,Cot,289,2,291,0.23,193992
Punjab,37,Jalandhar Cantt.,10 SUKHJINDER KUMAR,MALE,41,SC,PPID,School Bag,281,0,281,0.22,193992
Punjab,37,Jalandhar Cantt.,11 SUNIL BABBAR,MALE,37,GENERAL,SP,Bicycle,170,0,170,0.14,193992
TURN OUT,,,,,,TOTAL:,,,123990,1100,125090,64.48,
Punjab,38,Adampur,1 SUKHWINDER SINGH KOTLI,MALE,57,SC,INC,Hand,39373,181,39554,34.77,167938
Punjab,38,Adampur,2 PAWAN KUMAR TINU,MALE,55,SC,SAD,Scales,34779,208,34987,30.76,167938
Punjab,38,Adampur,3 JIT LAL BHATTI,MALE,66,SC,AAAP,Broom,28687,260,28947,25.45,167938
Punjab,38,Adampur,4 PARSHOTAM RAJ AHIR,MALE,35,SC,IND,Cot,5727,24,5751,5.06,167938
Punjab,38,Adampur,5 JAGDISH KUMAR JASSAL,MALE,54,SC,PLCP,HOCKEY AND BALL,1275,7,1282,1.13,167938
Punjab,38,Adampur,6 NOTA,,,,NOTA,NOTA,1150,9,1159,1.02,167938
Punjab,38,Adampur,7 SUNNY JASSAL,MALE,34,SC,ASPKR,Kettle,759,1,760,0.67,167938
Punjab,38,Adampur,8 VINOD KUMAR,MALE,47,SC,BSP(A),Helicopter,408,2,410,0.36,167938
Punjab,38,Adampur,9 PATRAS,MALE,34,SC,IND,Bat,378,2,380,0.33,167938
Punjab,38,Adampur,10 HARBHAJAN SINGH,MALE,76,SC,JJJKP,Television,326,4,330,0.29,167938
Punjab,38,Adampur,11 RAJDEEP KAUR,FEMALE,38,SC,BMUP,School Bag,193,0,193,0.17,167938
TURN OUT,,,,,,TOTAL:,,,113055,698,113753,67.74,
Punjab,39,Mukerian,1 JANGI LAL MAHAJAN,MALE,74,GENERAL,BJP,Lotus,40475,569,41044,28.64,208070
Punjab,39,Mukerian,2 Prof. GURDHIAN SINGH MULTANI,MALE,58,GENERAL,AAAP,Broom,37745,608,38353,26.76,208070
Punjab,39,Mukerian,3 INDU BALA,FEMALE,59,GENERAL,INC,Hand,28679,310,28989,20.23,208070
Punjab,39,Mukerian,4 SARBJOT SINGH,MALE,44,GENERAL,SAD,Scales,28704,280,28984,20.23,208070
Punjab,39,Mukerian,5 PARMINDER SINGH,MALE,35,GENERAL,SAD(M),SHIP,3211,21,3232,2.26,208070
Punjab,39,Mukerian,6 NOTA,,,,NOTA,NOTA,839,12,851,0.59,208070
Punjab,39,Mukerian,7 KARAMJIT SINGH,MALE,42,SC,IND,Sofa,708,7,715,0.5,208070
Punjab,39,Mukerian,8 GURVATAN SINGH,MALE,77,GENERAL,IND,Television,565,5,570,0.4,208070
Punjab,39,Mukerian,9 ASHOK KUMAR,MALE,40,GENERAL,IND,Iron,555,7,562,0.39,208070
TURN OUT,,,,,,TOTAL:,,,141481,1819,143300,68.87,
Punjab,40,Dasuya,1 KARAMBIR SINGH,MALE,37,GENERAL,AAAP,Broom,42617,655,43272,32.42,201374
Punjab,40,Dasuya,2 ARUN DOGRA,MALE,53,GENERAL,INC,Hand,34418,267,34685,25.99,201374
Punjab,40,Dasuya,3 RAGHUNATH SINGH RANA,MALE,69,GENERAL,BJP,Lotus,25250,382,25632,19.21,201374
Punjab,40,Dasuya,4 SUSHEEL KUMAR SHARMA,MALE,61,GENERAL,BSP,Elephant,22611,272,22883,17.15,201374
Punjab,40,Dasuya,5 SUKHWINDER SINGH,MALE,49,GENERAL,SAD(M),SHIP,3403,26,3429,2.57,201374
Punjab,40,Dasuya,6 RAM LAL SANDHU,MALE,58,GENERAL,IND,Tiller,1024,7,1031,0.77,201374
Punjab,40,Dasuya,7 NOTA,,,,NOTA,NOTA,810,14,824,0.62,201374
Punjab,40,Dasuya,8 JANAK RAJ,MALE,41,GENERAL,IND,Ganna Kisan,669,3,672,0.5,201374
Punjab,40,Dasuya,9 LAKHBIR SINGH,MALE,59,GENERAL,IND,Sewing Machine,401,1,402,0.3,201374
Punjab,40,Dasuya,10 BABBU SINGH BAAZ,MALE,35,GENERAL,PKD,Hand Cart,349,9,358,0.27,201374
Punjab,40,Dasuya,11 BALKAR SINGH,MALE,46,SC,IND,Table,264,4,268,0.2,201374
TURN OUT,,,,,,TOTAL:,,,131816,1640,133456,66.27,
