10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,, VALID VOTES POLLED ,,,,
 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
NCT OF Delhi,8,MUNDKA,1 DHARAMPAL LAKRA,MALE,61,GENERAL,AAAP,Broom,90194,99,90293,53.7762425180906,282984
NCT OF Delhi,8,MUNDKA,2 AZAD SINGH,MALE,68,GENERAL,BJP,Lotus,70855,280,71135,42.3662189928829,282984
NCT OF Delhi,8,MUNDKA,3 NARESH KUMAR,MALE,58,GENERAL,INC,Hand,5073,9,5082,3.02671153330753,282984
NCT OF Delhi,8,MUNDKA,4 NOTA,,,,NOTA,NOTA,898,5,903,0.537804115422411,282984
NCT OF Delhi,8,MUNDKA,5 CHETRAM,MALE,71,GENERAL,SatBP,Black Board,273,,273,0.162591941871892,282984
NCT OF Delhi,8,MUNDKA,6 KARAM CHAND LATHWAL,MALE,53,GENERAL,BPC,Gas Cylinder,218,1,219,0.130430898424704,282984
 TURNOUT , TOTAL : ,,,,,,,,167511,394,167905,59.3337432505018,
NCT OF Delhi,9,KIRARI,1 RITURAJ GOVIND,MALE,31,GENERAL,AAAP,Broom,86255,57,86312,49.7670556759998,273856
NCT OF Delhi,9,KIRARI,2 ANIL JHA,MALE,46,GENERAL,BJP,Lotus,80551,107,80658,46.50698832972,273856
NCT OF Delhi,9,KIRARI,3 KAUSHAL MISHRA,MALE,44,GENERAL,IND,Ganna Kisan,1830,,1830,1.05516859633747,273856
NCT OF Delhi,9,KIRARI,4 RABINDRA KUMAR SINGH,MALE,46,GENERAL,BSP,Elephant,1554,3,1557,0.897758199178929,273856
NCT OF Delhi,9,KIRARI,5 NOTA,,,,NOTA,NOTA,1068,3,1071,0.617533096545044,273856
NCT OF Delhi,9,KIRARI,6 RAVINDER KUMAR,MALE,26,SC,IND,Battery torch,721,,721,0.415724895059735,273856
NCT OF Delhi,9,KIRARI,7 REKHA BHARTI,FEMALE,58,GENERAL,IND,SHIP,512,,512,0.295216569029937,273856
NCT OF Delhi,9,KIRARI,8 MD RIYAZUDDIN KHAN,MALE,40,GENERAL,RJD,Hurricane Lamp,255,1,256,0.147608284514968,273856
NCT OF Delhi,9,KIRARI,9 PRAHLAD MAURYA,MALE,34,GENERAL,IND,School Bag,206,,206,0.118778541445639,273856
NCT OF Delhi,9,KIRARI,10 AJIT KUMAR,MALE,40,GENERAL,LJP,Bungalow,121,,121,0.069767978227778,273856
NCT OF Delhi,9,KIRARI,11 SHAWKAT ALI ANSARI,MALE,48,GENERAL,ASSP,Gas Cylinder,103,,103,0.0593892707228193,273856
NCT OF Delhi,9,KIRARI,12 RAKESH KUMAR,MALE,43,GENERAL,SatBP,Black Board,85,,85,0.0490105632178606,273856
 TURNOUT , TOTAL : ,,,,,,,,173261,171,173432,63.3296330918439,
NCT OF Delhi,10,SULTANPUR MAJRA(SC),1 Mukesh Kumar Ahlawat,MALE,44,SC,AAAP,Broom,74489,84,74573,66.5088071348941,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),2 Ram Chander Chawriya,MALE,51,SC,BJP,Lotus,26447,74,26521,23.6530657748049,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),3 Jai Kishan,MALE,61,SC,INC,Hand,9000,33,9033,8.0561872909699,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),4 Neelam,FEMALE,35,SC,BSP,Elephant,670,1,671,0.598439241917503,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),5 NOTA,,,,NOTA,NOTA,459,1,460,0.41025641025641,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),6 Mahender Kumar,MALE,47,SC,svjn,Typewriter,351,,351,0.31304347826087,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),7 Gayatri,FEMALE,31,SC,IND,Boat with Man and Sail,283,,283,0.252396878483835,175622
NCT OF Delhi,10,SULTANPUR MAJRA(SC),8 Bharti,FEMALE,31,SC,RVNP,Gas Stove,233,,233,0.207803790412486,175622
 TURNOUT , TOTAL : ,,,,,,,,111932,193,112125,63.8445069524319,
NCT OF Delhi,11,NANGLOI JAT,1 RAGHUVINDER SHOKEEN,MALE,53,GENERAL,AAAP,Broom,74302,142,74444,49.2120154423819,266339
NCT OF Delhi,11,NANGLOI JAT,2 SUMAN LATA,FEMALE,53,GENERAL,BJP,Lotus,62596,224,62820,41.5278438838648,266339
NCT OF Delhi,11,NANGLOI JAT,3 MANDEEP SINGH,MALE,45,GENERAL,INC,Hand,9718,43,9761,6.45261515680364,266339
NCT OF Delhi,11,NANGLOI JAT,4 SANDEEP,MALE,30,SC,BSP,Elephant,1434,4,1438,0.950605531757364,266339
NCT OF Delhi,11,NANGLOI JAT,5 NOTA,,,,NOTA,NOTA,849,13,862,0.569834470358031,266339
NCT OF Delhi,11,NANGLOI JAT,6 RAKESH SHARMA,MALE,29,GENERAL,IND,Battery torch,615,,615,0.406552435348247,266339
NCT OF Delhi,11,NANGLOI JAT,7 DIGAMBER,MALE,25,SC,SWAP,FLUTE,358,,358,0.236659791633614,266339
NCT OF Delhi,11,NANGLOI JAT,8 CHANDER SHEKHAR,MALE,46,GENERAL,IND,CCTV Camera,331,1,332,0.219472209001005,266339
NCT OF Delhi,11,NANGLOI JAT,9 SANJEEV JOSHI,MALE,45,GENERAL,DJP,Key,205,1,206,0.136178539319901,266339
NCT OF Delhi,11,NANGLOI JAT,10 AJEET KUMAR,MALE,26,SC,BPC,Gas Cylinder,187,,187,0.123618382780686,266339
NCT OF Delhi,11,NANGLOI JAT,11 SAROJ BALA,FEMALE,49,SC,PPID,Basket containing Fruits,139,2,141,0.0932095827383786,266339
NCT OF Delhi,11,NANGLOI JAT,12 TARUN KUMAR KOTHARI,MALE,45,GENERAL,VSP,Auto- Rickshaw,108,,108,0.0713945740123751,266339
 TURNOUT , TOTAL : ,,,,,,,,150842,430,151272,56.7967890545508,
NCT OF Delhi,12,MANGOL PURI(SC),1 RAKHI BIRLA,FEMALE,32,SC,AAAP,Broom,74046,108,74154,58.5341595295418,190728
NCT OF Delhi,12,MANGOL PURI(SC),2 KARAM SINGH KARMA,MALE,45,SC,BJP,Lotus,43914,124,44038,34.7618107905435,190728
NCT OF Delhi,12,MANGOL PURI(SC),3 RAJESH LILOTHIA,MALE,54,SC,INC,Hand,4056,17,4073,3.21506097801634,190728
NCT OF Delhi,12,MANGOL PURI(SC),4 MURARI LAL,MALE,45,SC,BSP,Elephant,2489,2,2491,1.96629435213324,190728
NCT OF Delhi,12,MANGOL PURI(SC),5 VIRENDER RAY,MALE,40,SC,SWARAJ,Whistle,892,1,893,0.70489797529305,190728
NCT OF Delhi,12,MANGOL PURI(SC),6 NOTA,,,,NOTA,NOTA,655,2,657,0.51860914867585,190728
NCT OF Delhi,12,MANGOL PURI(SC),7 DEEPAK KUMAR,MALE,36,SC,BSNP,Wheel Barrow,379,,379,0.299167225796266,190728
 TURNOUT , TOTAL : ,,,,,,,,126431,254,126685,66.421815360094,
NCT OF Delhi,13,ROHINI,1 VIJENDER GUPTA,MALE,56,GENERAL,BJP,Lotus,61804,370,62174,53.6723066298343,183092
NCT OF Delhi,13,ROHINI,2 RAJESH NAMA BANSIWALA,MALE,41,GENERAL,AAAP,Broom,49405,121,49526,42.7537983425414,183092
NCT OF Delhi,13,ROHINI,3 SUMESH GUPTA,MALE,48,GENERAL,INC,Hand,1935,28,1963,1.69457872928177,183092
NCT OF Delhi,13,ROHINI,4 RAJESH GARG,MALE,56,GENERAL,IND,CCTV Camera,974,3,977,0.843404696132597,183092
NCT OF Delhi,13,ROHINI,5 NOTA,,,,NOTA,NOTA,777,5,782,0.675069060773481,183092
NCT OF Delhi,13,ROHINI,6 ARUN KUMAR CHADHA,MALE,45,GENERAL,BSP,Elephant,235,2,237,0.204592541436464,183092
NCT OF Delhi,13,ROHINI,7 SHEELA RANI,FEMALE,60,GENERAL,IND,Air Conditioner,117,,117,0.10100138121547,183092
NCT OF Delhi,13,ROHINI,8 RAJBIR,MALE,63,SC,BHUDRP,Pen Nib with Seven Rays,64,,64,0.0552486187845304,183092
 TURNOUT , TOTAL : ,,,,,,,,115311,529,115840,63.2687392130732,
NCT OF Delhi,14,SHALIMAR BAGH,1 BANDANA KUMARI,FEMALE,45,GENERAL,AAAP,Broom,57649,58,57707,49.4054091076428,189373
NCT OF Delhi,14,SHALIMAR BAGH,2 REKHA GUPTA,FEMALE,45,GENERAL,BJP,Lotus,54183,84,54267,46.4602792736488,189373
NCT OF Delhi,14,SHALIMAR BAGH,3 J S NAYOL,MALE,59,GENERAL,INC,Hand,2485,6,2491,2.13265070246483,189373
NCT OF Delhi,14,SHALIMAR BAGH,4 NOTA,,,,NOTA,NOTA,733,2,735,0.629264659298134,189373
NCT OF Delhi,14,SHALIMAR BAGH,5 MOHIT,MALE,34,SC,BSP,Elephant,581,,581,0.497418730683287,189373
NCT OF Delhi,14,SHALIMAR BAGH,6 SURESH,MALE,32,GENERAL,IND,Battery torch,303,,303,0.25941114526168,189373
NCT OF Delhi,14,SHALIMAR BAGH,7 VANDANA,FEMALE,45,GENERAL,IND,FLUTE,172,1,173,0.148112634093302,189373
NCT OF Delhi,14,SHALIMAR BAGH,8 SHARVAN,MALE,34,GENERAL,IND,Razor,120,,120,0.102737087232348,189373
NCT OF Delhi,14,SHALIMAR BAGH,9 SHEHNAZ,FEMALE,35,GENERAL,IND,Lady Finger,119,,119,0.101880944838746,189373
NCT OF Delhi,14,SHALIMAR BAGH,10 SHYAM KUMAR,MALE,32,GENERAL,IND,Bat,109,,109,0.0933195209027165,189373
NCT OF Delhi,14,SHALIMAR BAGH,11 DR. ASHWANI KUMAR,MALE,44,GENERAL,BLokSP,Electric Pole,100,,100,0.0856142393602904,189373
NCT OF Delhi,14,SHALIMAR BAGH,12 POONAM KAUSHIK,FEMALE,49,GENERAL,IND,Bricks,55,,55,0.0470878316481597,189373
NCT OF Delhi,14,SHALIMAR BAGH,13 SAURABH GUPTA,MALE,30,GENERAL,JKiP,Tractor Chalata Kissan,43,,43,0.0368141229249249,189373
 TURNOUT , TOTAL : ,,,,,,,,116652,151,116803,61.6788032084827,
NCT OF Delhi,15,SHAKUR BASTI,1 SATYENDAR JAIN,MALE,55,GENERAL,AAAP,Broom,51055,110,51165,51.5958251399183,146226
NCT OF Delhi,15,SHAKUR BASTI,2 DR. S. C. VATS,MALE,74,GENERAL,BJP,Lotus,43388,185,43573,43.9398981495487,146226
NCT OF Delhi,15,SHAKUR BASTI,3 DEV RAJ ARORA,MALE,64,GENERAL,INC,Hand,3367,15,3382,3.41047748701659,146226
NCT OF Delhi,15,SHAKUR BASTI,4 NOTA,,,,NOTA,NOTA,638,3,641,0.646397418444007,146226
NCT OF Delhi,15,SHAKUR BASTI,5 ASHA RAM,MALE,46,SC,BSP,Elephant,286,3,289,0.291433469470075,146226
NCT OF Delhi,15,SHAKUR BASTI,6 PRAVEEN YADAV,MALE,28,GENERAL,AKBHJSP,Water Tank,115,,115,0.115968335602279,146226
 TURNOUT , TOTAL : ,,,,,,,,98849,316,99165,67.8162570267941,
NCT OF Delhi,16,TRI NAGAR,1 PREETI TOMAR,FEMALE,50,GENERAL,AAAP,Broom,58400,104,58504,52.3774138965236,167978
NCT OF Delhi,16,TRI NAGAR,2 TILAK RAM GUPTA,MALE,68,GENERAL,BJP,Lotus,47649,145,47794,42.7889737414613,167978
NCT OF Delhi,16,TRI NAGAR,3 KAMAL KANT SHARMA,MALE,55,GENERAL,INC,Hand,4066,9,4075,3.64826271072634,167978
NCT OF Delhi,16,TRI NAGAR,4 NOTA,,,,NOTA,NOTA,514,2,516,0.4619640634932,167978
NCT OF Delhi,16,TRI NAGAR,5 ARUNA,FEMALE,43,SC,BSP,Elephant,269,3,272,0.243515940446028,167978
NCT OF Delhi,16,TRI NAGAR,6 SUBHASH,MALE,60,SC,ASSP,COMPUTER,159,,159,0.142349391657788,167978
NCT OF Delhi,16,TRI NAGAR,7 DEVANAND RAM,MALE,48,SC,PMPT,Football,156,,156,0.13966355407934,167978
NCT OF Delhi,16,TRI NAGAR,8 BALJEET,MALE,42,SC,IND,FLUTE,121,,121,0.10832878233077,167978
NCT OF Delhi,16,TRI NAGAR,9 SUDHIR KUMAR,MALE,39,GENERAL,VPI,BUCKET,100,,100,0.089527919281628,167978
 TURNOUT , TOTAL : ,,,,,,,,111434,263,111697,66.4950172046339,
NCT OF Delhi,17,WAZIRPUR,1 RAJESH GUPTA,MALE,41,GENERAL,AAAP,Broom,57276,55,57331,52.6402291779526,181241
NCT OF Delhi,17,WAZIRPUR,2 DR. MAHENDER NAGPAL,MALE,60,GENERAL,BJP,Lotus,45470,171,45641,41.9066944569419,181241
NCT OF Delhi,17,WAZIRPUR,3 HARIKISHAN JINDAL,MALE,55,GENERAL,INC,Hand,3488,13,3501,3.21455133090321,181241
NCT OF Delhi,17,WAZIRPUR,4 MUSTQIM AHMED,MALE,33,GENERAL,BSP,Elephant,888,1,889,0.816262820100816,181241
NCT OF Delhi,17,WAZIRPUR,5 NOTA,,,,NOTA,NOTA,477,,477,0.437972289300438,181241
